"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-1362300","R-HSA-1362300","Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1","1/6","16/10955",0.008733173211254,0.089039480732574,0.0535575823955332,"MYBL2",1
"R-HSA-156711","R-HSA-156711","Polo-like kinase mediated events","1/6","16/10955",0.008733173211254,0.089039480732574,0.0535575823955332,"MYBL2",1
"R-HSA-1538133","R-HSA-1538133","G0 and Early G1","1/6","27/10955",0.0147002855340393,0.089039480732574,0.0535575823955332,"MYBL2",1
"R-HSA-182971","R-HSA-182971","EGFR downregulation","1/6","31/10955",0.0168627092445606,0.089039480732574,0.0535575823955332,"PTPRK",1
"R-HSA-445095","R-HSA-445095","Interaction between L1 and Ankyrins","1/6","31/10955",0.0168627092445606,0.089039480732574,0.0535575823955332,"SPTBN2",1
"R-HSA-8864260","R-HSA-8864260","Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors","1/6","38/10955",0.0206374343390809,0.089039480732574,0.0535575823955332,"MYBL2",1
"R-HSA-1296072","R-HSA-1296072","Voltage gated Potassium channels","1/6","43/10955",0.0233262656487815,0.089039480732574,0.0535575823955332,"KCNG1",1
"R-HSA-177929","R-HSA-177929","Signaling by EGFR","1/6","50/10955",0.0270802922482535,0.089039480732574,0.0535575823955332,"PTPRK",1
"R-HSA-6781823","R-HSA-6781823","Formation of TC-NER Pre-Incision Complex","1/6","54/10955",0.0292200461449752,0.089039480732574,0.0535575823955332,"PPIE",1
"R-HSA-8848021","R-HSA-8848021","Signaling by PTK6","1/6","54/10955",0.0292200461449752,0.089039480732574,0.0535575823955332,"KHDRBS2",1
"R-HSA-9006927","R-HSA-9006927","Signaling by Non-Receptor Tyrosine Kinases","1/6","54/10955",0.0292200461449752,0.089039480732574,0.0535575823955332,"KHDRBS2",1
"R-HSA-375165","R-HSA-375165","NCAM signaling for neurite out-growth","1/6","63/10955",0.0340201573707734,0.089039480732574,0.0535575823955332,"SPTBN2",1
"R-HSA-6782210","R-HSA-6782210","Gap-filling DNA repair synthesis and ligation in TC-NER","1/6","65/10955",0.0350841582204239,0.089039480732574,0.0535575823955332,"PPIE",1
"R-HSA-6782135","R-HSA-6782135","Dual incision in TC-NER","1/6","66/10955",0.0356157922930296,0.089039480732574,0.0535575823955332,"PPIE",1
"R-HSA-6781827","R-HSA-6781827","Transcription-Coupled Nucleotide Excision Repair (TC-NER)","1/6","79/10955",0.0425048533737471,0.0991779912054099,0.059655934559645,"PPIE",1
"R-HSA-6807878","R-HSA-6807878","COPI-mediated anterograde transport","1/6","101/10955",0.0540698311386798,0.113472871513184,0.0682543588049229,"SPTBN2",1
"R-HSA-1296071","R-HSA-1296071","Potassium Channels","1/6","103/10955",0.0551153947349753,0.113472871513184,0.0682543588049229,"KCNG1",1
"R-HSA-5696398","R-HSA-5696398","Nucleotide Excision Repair","1/6","111/10955",0.0592880236836782,0.114656795375889,0.0689664934591811,"PPIE",1
"R-HSA-373760","R-HSA-373760","L1CAM interactions","1/6","119/10955",0.0634452859749594,0.114656795375889,0.0689664934591811,"SPTBN2",1
"R-HSA-2132295","R-HSA-2132295","MHC class II antigen presentation","1/6","123/10955",0.0655181687862221,0.114656795375889,0.0689664934591811,"SPTBN2",1
"R-HSA-453279","R-HSA-453279","Mitotic G1 phase and G1/S transition","1/6","149/10955",0.0788989324923092,0.129585527441072,0.0779461819194418,"MYBL2",1
"R-HSA-199977","R-HSA-199977","ER to Golgi Anterograde Transport","1/6","154/10955",0.0814537601058167,0.129585527441072,0.0779461819194418,"SPTBN2",1
"R-HSA-948021","R-HSA-948021","Transport to the Golgi and subsequent modification","1/6","185/10955",0.0971622486720616,0.1451558024718,0.0873117608852931,"SPTBN2",1
"R-HSA-69275","R-HSA-69275","G2/M Transition","1/6","196/10955",0.102682129364149,0.1451558024718,0.0873117608852931,"MYBL2",1
"R-HSA-453274","R-HSA-453274","Mitotic G2-G2/M phases","1/6","198/10955",0.103682716051286,0.1451558024718,0.0873117608852931,"MYBL2",1
"R-HSA-72163","R-HSA-72163","mRNA Splicing - Major Pathway","1/6","207/10955",0.108173857913688,0.145379922130817,0.0874465697027472,"PPIE",1
"R-HSA-72172","R-HSA-72172","mRNA Splicing","1/6","215/10955",0.112150225643773,0.145379922130817,0.0874465697027472,"PPIE",1
"R-HSA-5673001","R-HSA-5673001","RAF/MAP kinase cascade","1/6","280/10955",0.143913973988722,0.171263901200079,0.1030158804211,"SPTBN2",1
"R-HSA-72203","R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","1/6","285/10955",0.146317583255131,0.171263901200079,0.1030158804211,"PPIE",1
"R-HSA-5684996","R-HSA-5684996","MAPK1/MAPK3 signaling","1/6","286/10955",0.146797629600067,0.171263901200079,0.1030158804211,"SPTBN2",1
"R-HSA-446203","R-HSA-446203","Asparagine N-linked glycosylation","1/6","304/10955",0.155400075156728,0.175451697757596,0.105534855794043,"SPTBN2",1
"R-HSA-5683057","R-HSA-5683057","MAPK family signaling cascades","1/6","325/10955",0.165344789747426,0.180351772642063,0.108482269258384,"SPTBN2",1
"R-HSA-73894","R-HSA-73894","DNA Repair","1/6","335/10955",0.170045957062517,0.180351772642063,0.108482269258384,"PPIE",1
