"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-1362300","R-HSA-1362300","Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1","1/5","16/10955",0.0072826272785107,0.0732746276784385,0.0385655935149676,"MYBL2",1
"R-HSA-156711","R-HSA-156711","Polo-like kinase mediated events","1/5","16/10955",0.0072826272785107,0.0732746276784385,0.0385655935149676,"MYBL2",1
"R-HSA-1538133","R-HSA-1538133","G0 and Early G1","1/5","27/10955",0.0122647740179195,0.0732746276784385,0.0385655935149676,"MYBL2",1
"R-HSA-182971","R-HSA-182971","EGFR downregulation","1/5","31/10955",0.0140714961285777,0.0732746276784385,0.0385655935149676,"PTPRK",1
"R-HSA-445095","R-HSA-445095","Interaction between L1 and Ankyrins","1/5","31/10955",0.0140714961285777,0.0732746276784385,0.0385655935149676,"SPTBN2",1
"R-HSA-8864260","R-HSA-8864260","Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors","1/5","38/10955",0.017226897545174,0.0732746276784385,0.0385655935149676,"MYBL2",1
"R-HSA-177929","R-HSA-177929","Signaling by EGFR","1/5","50/10955",0.0226173578090256,0.0732746276784385,0.0385655935149676,"PTPRK",1
"R-HSA-6781823","R-HSA-6781823","Formation of TC-NER Pre-Incision Complex","1/5","54/10955",0.0244089120124339,0.0732746276784385,0.0385655935149676,"PPIE",1
"R-HSA-8848021","R-HSA-8848021","Signaling by PTK6","1/5","54/10955",0.0244089120124339,0.0732746276784385,0.0385655935149676,"KHDRBS2",1
"R-HSA-9006927","R-HSA-9006927","Signaling by Non-Receptor Tyrosine Kinases","1/5","54/10955",0.0244089120124339,0.0732746276784385,0.0385655935149676,"KHDRBS2",1
"R-HSA-375165","R-HSA-375165","NCAM signaling for neurite out-growth","1/5","63/10955",0.0284303043271762,0.0732746276784385,0.0385655935149676,"SPTBN2",1
"R-HSA-6782210","R-HSA-6782210","Gap-filling DNA repair synthesis and ligation in TC-NER","1/5","65/10955",0.0293221435474177,0.0732746276784385,0.0385655935149676,"PPIE",1
"R-HSA-6782135","R-HSA-6782135","Dual incision in TC-NER","1/5","66/10955",0.0297678174943656,0.0732746276784385,0.0385655935149676,"PPIE",1
"R-HSA-6781827","R-HSA-6781827","Transcription-Coupled Nucleotide Excision Repair (TC-NER)","1/5","79/10955",0.0355466971246923,0.081249593427868,0.0427629439094042,"PPIE",1
"R-HSA-6807878","R-HSA-6807878","COPI-mediated anterograde transport","1/5","101/10955",0.0452635865949437,0.0965623180692132,0.0508222726680069,"SPTBN2",1
"R-HSA-5696398","R-HSA-5696398","Nucleotide Excision Repair","1/5","111/10955",0.0496543831844524,0.0976035546047033,0.0513702918972123,"PPIE",1
"R-HSA-373760","R-HSA-373760","L1CAM interactions","1/5","119/10955",0.0531553763665227,0.0976035546047033,0.0513702918972123,"SPTBN2",1
"R-HSA-2132295","R-HSA-2132295","MHC class II antigen presentation","1/5","123/10955",0.0549019994651456,0.0976035546047033,0.0513702918972123,"SPTBN2",1
"R-HSA-453279","R-HSA-453279","Mitotic G1 phase and G1/S transition","1/5","149/10955",0.0661923257837966,0.109361789278798,0.0575588364625254,"MYBL2",1
"R-HSA-199977","R-HSA-199977","ER to Golgi Anterograde Transport","1/5","154/10955",0.0683511182992489,0.109361789278798,0.0575588364625254,"SPTBN2",1
"R-HSA-948021","R-HSA-948021","Transport to the Golgi and subsequent modification","1/5","185/10955",0.0816466904746004,0.120791575465592,0.063574513402943,"SPTBN2",1
"R-HSA-69275","R-HSA-69275","G2/M Transition","1/5","196/10955",0.0863278144446192,0.120791575465592,0.063574513402943,"MYBL2",1
"R-HSA-453274","R-HSA-453274","Mitotic G2-G2/M phases","1/5","198/10955",0.0871768732107118,0.120791575465592,0.063574513402943,"MYBL2",1
"R-HSA-72163","R-HSA-72163","mRNA Splicing - Major Pathway","1/5","207/10955",0.0909898300432734,0.120791575465592,0.063574513402943,"PPIE",1
"R-HSA-72172","R-HSA-72172","mRNA Splicing","1/5","215/10955",0.0943684183324935,0.120791575465592,0.063574513402943,"PPIE",1
"R-HSA-5673001","R-HSA-5673001","RAF/MAP kinase cascade","1/5","280/10955",0.121448736192737,0.141617623418791,0.074535591273048,"SPTBN2",1
"R-HSA-72203","R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","1/5","285/10955",0.123504691668419,0.141617623418791,0.074535591273048,"PPIE",1
"R-HSA-5684996","R-HSA-5684996","MAPK1/MAPK3 signaling","1/5","286/10955",0.123915420491442,0.141617623418791,0.074535591273048,"SPTBN2",1
"R-HSA-446203","R-HSA-446203","Asparagine N-linked glycosylation","1/5","304/10955",0.131282249010536,0.144863171321971,0.0762437743799847,"SPTBN2",1
"R-HSA-5683057","R-HSA-5683057","MAPK family signaling cascades","1/5","325/10955",0.139814159786759,0.148493772825144,0.0781546172763915,"SPTBN2",1
"R-HSA-73894","R-HSA-73894","DNA Repair","1/5","335/10955",0.143853342424358,0.148493772825144,0.0781546172763915,"PPIE",1
